Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
32334,-0.85,2.01,-0.37,-0.4,0.15,-0.93,27.91,43.96,-59.41
32362,-0.79,1.95,-0.37,-0.38,0.14,-0.94,27.76,42.61,-59.56
32391,-0.79,2.01,-0.37,-0.39,0.14,-0.95,28.96,42.16,-59.41
32419,-0.79,1.95,-0.37,-0.39,0.15,-0.93,28.51,43.81,-59.26
32448,-0.79,1.95,-0.37,-0.39,0.15,-0.94,27.61,43.96,-60.17
32476,-0.73,2.07,-0.37,-0.39,0.15,-0.94,29.56,44.11,-59.11
32508,-0.79,1.95,-0.43,-0.38,0.15,-0.94,28.21,43.51,-60.17
32537,-0.73,1.95,-0.49,-0.38,0.15,-0.95,29.56,44.11,-60.02
32565,-0.79,2.01,-0.3,-0.39,0.15,-0.93,28.96,43.96,-59.71
32594,-0.79,1.95,-0.37,-0.38,0.16,-0.94,27.91,43.96,-59.41
32622,-0.73,1.95,-0.43,-0.4,0.14,-0.94,28.51,44.11,-60.62
32651,-0.79,1.95,-0.37,-0.38,0.14,-0.94,27.76,42.61,-60.32
32679,-0.79,1.95,-0.49,-0.39,0.15,-0.94,29.56,43.36,-58.96
32711,-0.79,2.01,-0.43,-0.39,0.15,-0.94,27.76,43.36,-59.26
32740,-0.73,2.01,-0.43,-0.39,0.15,-0.94,28.66,42.91,-60.17
32768,-0.79,1.95,-0.43,-0.38,0.14,-0.95,27.01,44.41,-60.32
32797,-0.79,2.01,-0.43,-0.39,0.15,-0.94,28.21,42.91,-59.11
32825,-0.73,1.95,-0.43,-0.39,0.15,-0.94,28.81,44.11,-60.32
32854,-0.79,2.01,-0.43,-0.39,0.15,-0.95,27.76,43.06,-60.32
32882,-0.85,1.95,-0.43,-0.39,0.15,-0.94,28.81,41.56,-60.02
32911,-0.73,1.89,-0.43,-0.39,0.14,-0.94,28.21,43.51,-58.36
32942,-0.79,2.01,-0.37,-0.39,0.15,-0.95,28.51,43.36,-61.37
32971,-0.79,2.01,-0.37,-0.39,0.15,-0.95,29.11,43.06,-61.07
32999,-0.79,2.01,-0.49,-0.39,0.15,-0.94,28.21,43.21,-59.71
33028,-0.79,2.01,-0.43,-0.39,0.15,-0.94,28.21,45.31,-60.17
33057,-0.79,2.01,-0.43,-0.4,0.16,-0.94,29.11,44.86,-60.02
33085,-0.79,2.01,-0.37,-0.39,0.14,-0.95,29.41,43.51,-60.47
33114,-0.79,1.95,-0.43,-0.38,0.15,-0.95,28.51,43.36,-59.56
33145,-0.73,1.95,-0.37,-0.4,0.15,-0.94,28.66,44.71,-59.71
33174,-0.79,1.95,-0.37,-0.38,0.15,-0.94,29.11,44.11,-60.62
33202,-0.73,2.01,-0.43,-0.38,0.14,-0.93,28.06,43.81,-58.51
33231,-0.73,2.01,-0.43,-0.39,0.15,-0.95,26.71,43.36,-60.02
33259,-0.73,2.07,-0.37,-0.39,0.15,-0.94,28.96,45.01,-60.47
33288,-0.79,2.07,-0.43,-0.39,0.15,-0.93,28.66,43.51,-60.47
33316,-0.73,2.07,-0.49,-0.38,0.15,-0.94,28.66,44.26,-59.71
33345,-0.67,2.07,-0.43,-0.39,0.15,-0.93,28.96,42.16,-61.22
33377,-0.73,2.01,-0.37,-0.38,0.15,-0.93,26.26,43.36,-60.02
33405,-0.73,1.95,-0.37,-0.39,0.13,-0.93,28.21,43.51,-59.11
33434,-0.79,2.07,-0.37,-0.38,0.15,-0.95,28.51,43.36,-59.56
33462,-0.79,2.01,-0.43,-0.39,0.14,-0.94,28.06,43.06,-60.02
33491,-0.73,1.71,-0.43,-0.39,0.15,-0.93,27.01,43.36,-60.62
33519,-0.85,1.65,-0.43,-0.4,0.14,-0.96,28.81,42.01,-60.32
33548,-0.79,1.52,-0.49,-0.39,0.15,-0.94,28.66,43.96,-60.17
33580,-0.79,1.59,-0.43,-0.39,0.15,-0.95,29.11,44.11,-61.07
