Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
13703,-0.0149,-0.0415,0.0085,-0.16503906,-0.19921875,-0.98486328,624.23,405.15,-195.33
13713,-0.0138,-0.0394,0.0106,-0.17431641,-0.19726562,-0.98388672,624.17,407.9,-195.23
13736,-0.016,-0.0362,0.0085,-0.17822266,-0.19628906,-0.98046875,618.38,399.8,-194.1
13756,-0.0106,-0.0383,0.0085,-0.17285156,-0.19824219,-0.98291016,634.87,400.48,-204.97
13776,-0.0106,-0.0404,0.0074,-0.18164062,-0.1953125,-0.98339844,610.93,402.6,-196.56
13796,-0.0032,-0.0553,0.0085,-0.1796875,-0.20214844,-0.98828125,615.69,386.1,-194.54
13816,0,-0.0404,0.0053,-0.171875,-0.19189453,-0.98046875,613.86,407.91,-200.41
13836,-0.0096,-0.0372,0.0074,-0.18505859,-0.19335938,-0.98828125,625.37,422.96,-196.05
13856,-0.0085,-0.0298,0.0074,-0.17236328,-0.20507812,-0.97509766,621.14,410.71,-195.09
13876,-0.016,-0.0404,0.0106,-0.18359375,-0.20605469,-0.99023438,621.57,394,-201.01
13896,-0.0298,-0.0351,0.0085,-0.171875,-0.19384766,-0.98291016,615.41,409.06,-205.72
13916,-0.0128,-0.0426,0.0117,-0.18066406,-0.1953125,-0.98242188,606.38,408.15,-197.63
13936,-0.0149,-0.0426,0.0053,-0.16503906,-0.20410156,-0.98193359,616.88,401.16,-195.36
13956,0.0011,-0.0351,0.0074,-0.18261719,-0.19482422,-0.98876953,609.21,411.04,-192.24
13976,-0.0223,-0.0394,0.0096,-0.17285156,-0.20898438,-0.98291016,613.67,414.89,-197.5
13996,-0.0149,-0.0479,0.0117,-0.17578125,-0.18798828,-1,615.14,409.64,-189.71
14016,-0.016,-0.0436,0.0064,-0.17529297,-0.20068359,-0.97363281,634.66,398.31,-189.06
14036,-0.0128,-0.0277,0.0043,-0.17919922,-0.1953125,-0.98291016,634.82,397.97,-198.4
14056,0.0032,-0.0064,-0.0021,-0.17285156,-0.19970703,-0.97119141,615.25,409.4,-196.38
14076,-0.0085,0.0106,-0.0074,-0.18066406,-0.19580078,-0.98291016,615.56,399.52,-203.39
14096,-0.0468,-0.0128,-0.0011,-0.17675781,-0.20751953,-1.00146484,609.27,408.28,-192.34
14116,-0.017,-0.0277,0.0128,-0.18408203,-0.20166016,-0.99804688,600.29,416.47,-198.58
