Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
4318,-0.67,-2.5,0.18,0.19,0.22,-1.02,622.42,416.38,-189.58
4329,-1.04,-2.01,0.37,0.2,0.22,-1.0,618.07,418.88,-198.75
4358,-0.98,-2.32,0.24,0.2,0.23,-1.01,608.12,393.12,-194.18
4369,-0.85,-2.07,0.43,0.2,0.22,-1.02,621.24,398.66,-186.18
4398,-0.98,-2.32,0.24,0.2,0.22,-1.02,604.8,418.89,-205.22
4409,-0.79,-2.13,0.24,0.2,0.23,-1.02,621.3,410.37,-204.43
4438,-0.98,-2.2,0.3,0.2,0.23,-1.0,611.05,402.36,-203.23
4449,-0.79,-2.26,0.18,0.19,0.23,-1.02,614.03,410.17,-213.65
4478,-0.98,-2.26,0.3,0.19,0.22,-1.02,606.48,401.36,-195.2
4489,-0.98,-2.13,0.3,0.19,0.21,-1.01,631.6,407.76,-195.34
4518,-0.98,-2.2,0.24,0.2,0.22,-1.01,597.52,406.89,-198.88
4529,-0.91,-2.07,0.37,0.2,0.22,-1.01,609.54,401.11,-200.58
4558,-0.98,-2.26,0.3,0.19,0.22,-1.01,617.13,391.43,-198.37
4569,-0.98,-2.2,0.24,0.19,0.22,-1.0,609.32,405.53,-192.43
4598,-0.98,-2.2,0.3,0.19,0.23,-1.0,614.01,398.37,-198.08
4609,-0.91,-2.13,0.3,0.2,0.22,-1.0,615.2,409.5,-193.71
4638,-0.98,-2.26,0.3,0.2,0.22,-1.01,597.51,402.96,-193.68
4649,-0.98,-2.2,0.3,0.2,0.22,-1.01,626.95,421.41,-200.12
4678,-0.91,-2.2,0.24,0.19,0.23,-1.01,622.71,402.62,-190.06
4689,-0.98,-2.32,0.3,0.2,0.23,-1.0,630.28,406.12,-203.37
4718,-0.91,-2.26,0.18,0.19,0.22,-1.03,616.89,405.09,-200.55
4729,-1.04,-2.26,0.37,0.2,0.22,-1.0,615.29,409.3,-199.05
4758,-0.91,-2.2,0.18,0.19,0.22,-1.01,627.44,400.62,-204.86
4769,-0.91,-2.13,0.24,0.19,0.22,-1.02,624.4,400.82,-200.81
4798,-0.79,-2.2,0.3,0.21,0.22,-1.01,613.42,415.42,-182.82
4809,-0.98,-2.13,0.37,0.2,0.22,-1.01,625.6,406.69,-189.96
4838,-0.98,-2.2,0.43,0.19,0.22,-1.01,607.85,402.9,-189.84
4849,-1.04,-2.13,0.24,0.21,0.21,-1.01,613.97,398.46,-195.41
4878,-0.98,-2.32,0.3,0.2,0.22,-1.01,618.19,415.98,-202.85
4889,-0.91,-2.2,0.3,0.19,0.22,-1.01,623.09,396.53,-206.27
4998,-0.85,-2.13,0.24,0.2,0.21,-1.01,615.19,406.89,-189.81
5009,-0.91,-2.2,0.18,0.2,0.22,-1.0,622.53,406.94,-184.58
5038,-0.98,-2.26,0.12,0.2,0.23,-1.0,616.77,410.6,-200.36
5049,-0.91,-2.2,0.24,0.2,0.21,-1.0,633.19,408.81,-203.32
5078,-1.04,-2.26,0.3,0.2,0.22,-1.01,616.58,408.38,-185.78
5089,-0.91,-2.32,0.24,0.2,0.23,-1.01,608.03,406.45,-205.7
5118,-0.98,-2.26,0.37,0.21,0.23,-1.0,610.69,407.07,-187.07
5129,-0.98,-2.2,0.3,0.2,0.22,-1.01,616.93,401.06,-198.03
5158,-0.98,-2.2,0.24,0.2,0.22,-1.02,622.59,413.39,-196.35
5169,-1.1,-2.2,0.37,0.2,0.22,-1.02,616.93,401.06,-198.03
5198,-1.04,-2.26,0.3,0.19,0.23,-1.01,618.08,416.22,-196.18
5209,-0.91,-2.2,0.24,0.19,0.23,-1.01,605.14,393.18,-194.14
5238,-0.91,-2.38,0.24,0.2,0.22,-1.01,624.47,400.68,-204.81
5249,-0.85,-2.2,0.43,0.2,0.23,-1.02,613.64,421.52,-203.92
5278,-0.85,-2.32,0.37,0.2,0.22,-1.01,616.74,408.04,-195.12
5289,-0.98,-2.2,0.18,0.19,0.23,-1.02,622.79,409.01,-203.16
5318,-0.98,-2.2,0.3,0.2,0.22,-1.01,621.15,408.05,-192.51
5329,-0.98,-2.2,0.24,0.2,0.22,-1.01,610.99,399.85,-196.65
5358,-0.91,-2.26,0.37,0.2,0.22,-1.02,625.45,409.64,-184.53
5369,-0.91,-2.26,0.18,0.19,0.23,-1.01,607.88,406.79,-196.36
5398,-0.85,-2.13,0.3,0.2,0.22,-1.01,609.12,415.17,-192.09
5409,-0.98,-2.26,0.3,0.19,0.22,-1.01,615.32,413.19,-205.57
5438,-0.85,-2.2,0.24,0.2,0.22,-1.01,616.41,411.38,-179.01
