Timestamp,Yaw,Pitch,Roll
372064,-137.3,-0.9,121.5
372089,-137.6,-2.0,120.1
372114,-139.0,-2.1,118.9
372139,-138.3,-0.2,114.3
372164,-137.8,1.5,110.2
372189,-137.2,3.2,106.5
372214,-136.7,4.6,103.1
372239,-136.1,5.9,100.1
372264,-135.5,7.0,97.4
372289,-134.9,8.0,95.0
372314,-134.3,8.8,93.0
372339,-133.7,9.6,91.2
372364,-133.1,10.2,89.6
372389,-132.5,10.8,88.1
372414,-131.8,11.2,86.7
372439,-131.1,11.7,85.4
372464,-130.4,11.9,84.4
372489,-129.7,12.3,83.6
372514,-128.9,12.4,82.8
372539,-128.2,12.5,82.1
372564,-127.4,12.6,81.4
372589,-126.7,12.8,80.9
372614,-125.2,13.0,80.1
372639,-124.1,13.3,79.6
372664,-123.2,13.4,79.4
372689,-122.6,13.6,79.0
372714,-121.9,13.7,78.9
372739,-121.2,13.7,78.8
372764,-120.6,13.8,78.7
372789,-119.9,13.8,78.6
372814,-119.3,13.7,78.5
372839,-118.6,13.8,78.5
372864,-117.9,13.9,78.5
372889,-117.2,13.9,78.6
372914,-116.7,13.9,78.5
372939,-116.1,14.0,78.4
372964,-115.6,13.9,78.2
372989,-115.2,14.0,78.3
373014,-114.6,14.0,78.2
373039,-114.1,13.9,78.3
373064,-113.5,13.9,78.4
373089,-113.1,13.9,78.4
373114,-112.6,13.8,78.5
373139,-111.5,13.6,78.6
373164,-110.9,13.6,78.7
373189,-110.5,13.7,78.7
373214,-110.1,13.7,78.7
373239,-109.8,13.8,78.5
373264,-109.6,13.8,78.4
373289,-109.2,13.8,78.3
373314,-108.8,13.7,78.2
373339,-108.5,13.6,78.1
373364,-108.1,13.6,78.1
373389,-107.7,13.6,78.0
373414,-107.4,13.6,78.0
373439,-107.0,13.8,78.0
373464,-106.6,13.9,78.1
373489,-106.3,14.1,78.1
373514,-106.1,14.1,78.2
373539,-105.9,14.1,78.4
373564,-105.7,13.9,78.3
373589,-105.4,13.8,78.4
373614,-105.2,13.6,78.5
373639,-105.0,13.5,78.4
373664,-104.4,13.3,78.4
373689,-103.9,13.3,78.6
373714,-103.7,13.3,78.6
373739,-103.5,13.4,78.4
373764,-103.4,13.5,78.3
373789,-103.2,13.5,78.2
373814,-103.0,13.5,78.0
373839,-102.9,13.6,77.9
373864,-102.7,13.5,77.8
373889,-102.5,13.5,77.8
373914,-102.3,13.6,77.9
373939,-102.1,13.5,77.9
373964,-102.0,13.5,78.0
373989,-101.8,13.5,78.0
374014,-101.5,13.6,78.1
374039,-101.4,13.5,78.2
374064,-101.2,13.5,78.3
374089,-101.0,13.5,78.3
374114,-100.8,13.5,78.3
374139,-100.8,13.6,78.5
374164,-100.5,13.5,78.6
374189,-100.3,13.6,78.8
374214,-100.0,13.5,78.8
374239,-99.9,13.5,78.9
374264,-99.7,13.4,78.8
374289,-99.7,13.4,78.9
374314,-99.5,13.4,79.0
374339,-99.3,13.5,78.9
374364,-99.2,13.5,78.7
374389,-99.1,13.6,78.7
374414,-99.0,13.6,78.6
374439,-98.8,13.6,78.6
374464,-98.8,13.7,78.5
374489,-98.7,13.7,78.4
374514,-98.6,13.8,78.4
374539,-98.6,13.9,78.4
374564,-98.5,13.9,78.4
374589,-98.4,13.9,78.3
374614,-98.2,13.9,78.3
374639,-98.2,13.8,78.4
374664,-98.0,13.9,78.4
374689,-98.0,13.8,78.4
374714,-97.8,13.8,78.4
374739,-97.6,13.9,78.6
374764,-97.5,14.0,78.5
374789,-97.4,14.0,78.4
374814,-97.3,14.0,78.4
374839,-97.2,14.0,78.3
374864,-97.2,14.1,78.3
374889,-97.1,14.0,78.3
374914,-97.1,14.0,78.3
374939,-97.1,13.9,78.3
374964,-97.1,13.8,78.3
374989,-97.0,13.7,78.3
375014,-96.9,13.7,78.2
375039,-96.8,13.6,78.3
375064,-96.7,13.5,78.3
375089,-96.7,13.5,78.3
375114,-96.7,13.5,78.2
375139,-96.7,13.5,78.2
375164,-96.8,13.5,78.2
375189,-96.7,13.4,78.2
375214,-96.7,13.3,78.2
375239,-96.6,13.3,78.3
375264,-96.6,13.3,78.4
375289,-96.6,13.2,78.5
375314,-96.6,13.2,78.5
375339,-96.5,13.3,78.5
375364,-96.4,13.3,78.5
375389,-96.3,13.3,78.6
375414,-96.2,13.3,78.7
375439,-96.1,13.4,78.7
375464,-96.0,13.3,78.8
375489,-96.0,13.4,78.9
375514,-95.8,13.4,78.9
375539,-95.8,13.3,78.9
375564,-95.7,13.3,79.0
375589,-95.8,13.3,79.0
375614,-95.7,13.3,79.1
375639,-95.6,13.2,79.2
375664,-95.6,13.2,79.3
375689,-95.5,13.2,79.3
375714,-95.6,13.2,79.2
375739,-95.6,13.2,79.2
375764,-95.5,13.2,79.1
375789,-95.4,13.1,79.2
375814,-95.4,13.1,79.2
375839,-95.3,13.0,79.0
375864,-95.3,13.0,79.1
375889,-95.3,13.0,79.2
375914,-95.3,13.1,79.3
375939,-95.3,13.1,79.2
375964,-95.3,13.0,79.3
375989,-95.3,13.0,79.4
376014,-95.3,13.0,79.4
376039,-95.3,13.0,79.5
376064,-95.2,13.0,79.5
376089,-95.2,13.0,79.4
376114,-95.1,12.9,79.5
376139,-95.1,12.9,79.3
376164,-95.0,12.9,79.3
376189,-95.0,13.0,79.2
376214,-94.9,13.0,79.2
376239,-94.9,13.1,79.2
376264,-94.8,13.1,79.1
376289,-94.6,13.1,79.1
376314,-94.4,13.0,79.1
376339,-94.1,13.0,79.1
376364,-93.6,12.9,79.2
376389,-91.8,12.2,79.0
376414,-90.1,11.8,79.3
376439,-89.1,12.0,79.5
376464,-88.3,12.4,79.2
376489,-87.6,13.3,79.2
376514,-87.2,13.9,79.1
376539,-87.1,13.9,78.9
376564,-87.1,13.1,78.4
376589,-87.4,12.7,78.0
376614,-87.7,11.6,77.2
376639,-88.2,10.3,76.4
376664,-88.9,9.0,75.6
376689,-89.7,7.6,74.8
376714,-90.5,6.5,73.9
376739,-91.4,5.2,73.1
376764,-92.4,4.6,72.6
376789,-93.3,3.8,72.4
376814,-93.6,3.5,72.5
376839,-93.6,4.1,73.0
376864,-93.0,4.8,73.8
376889,-92.3,5.8,74.5
376914,-91.1,7.3,75.2
376939,-88.9,9.5,77.2
376964,-87.3,12.7,78.7
376989,-86.7,13.9,79.0
377014,-85.9,15.0,78.9
377039,-85.6,15.5,78.4
377064,-85.1,15.8,77.7
377089,-84.6,15.7,76.7
377114,-84.3,16.4,76.0
377139,-84.2,16.5,75.3
377164,-84.2,15.8,74.2
377189,-84.1,14.6,73.0
377214,-83.9,13.0,71.5
377239,-83.0,10.9,70.0
377264,-82.0,9.0,68.3
377289,-80.5,7.5,67.3
377314,-78.7,5.4,66.1
377339,-76.9,4.5,65.6
377364,-75.0,3.6,65.4
377389,-72.8,3.1,65.2
377414,-70.7,3.6,65.3
377439,-68.3,4.3,65.5
377464,-65.8,5.5,65.8
377489,-62.2,7.6,66.9
377514,-58.9,11.7,68.3
377539,-57.6,13.5,68.9
377564,-56.2,14.6,69.7
377589,-55.4,15.3,69.6
377614,-54.7,16.3,69.5
377639,-54.1,16.9,69.1
377664,-53.7,17.1,68.3
377689,-54.2,17.4,65.3
377714,-54.9,17.7,61.7
377739,-56.2,18.1,57.1
377764,-57.6,17.8,51.7
377789,-57.8,17.4,49.8
377814,-57.9,16.6,47.6
377839,-57.2,15.5,47.1
377864,-56.3,14.9,47.3
377889,-56.0,14.8,48.6
377914,-55.8,15.4,50.7
377939,-57.3,16.5,54.4
377964,-58.5,17.5,59.0
377989,-59.6,18.5,64.9
378014,-60.2,18.9,71.4
378039,-58.7,19.3,69.1
378064,-56.2,18.1,67.8
378089,-55.1,18.7,67.1
378114,-55.6,20.5,66.6
378139,-57.2,22.5,66.1
378164,-60.6,24.4,65.5
378189,-64.5,24.5,65.0
378214,-68.3,23.3,64.4
378239,-71.9,21.4,63.7
378264,-74.2,19.6,63.9
378289,-75.6,17.1,64.5
378314,-76.3,14.7,65.2
378339,-76.6,12.9,65.9
378364,-77.0,12.1,66.5
378389,-78.1,12.6,67.1
378414,-80.0,13.3,67.3
378439,-82.2,14.2,67.2
378464,-84.8,15.1,67.3
378489,-87.6,15.1,67.1
378514,-90.1,14.9,67.1
378539,-92.4,14.5,67.0
378564,-93.7,13.2,67.1
378589,-93.5,10.9,67.0
378614,-93.3,10.7,67.1
378639,-93.7,10.8,66.3
378664,-94.4,11.5,65.3
378689,-95.1,12.2,64.5
378714,-95.7,11.9,63.6
378739,-96.0,11.8,62.8
378764,-96.3,12.6,61.7
378789,-96.8,13.3,60.6
378814,-97.5,14.7,59.8
378839,-98.3,15.9,59.2
378864,-99.1,15.6,58.2
378889,-99.0,14.9,57.7
378914,-98.6,13.6,56.8
378939,-96.7,12.4,55.6
378964,-94.5,11.2,54.6
378989,-91.7,10.5,54.1
379014,-88.9,11.5,54.4
379039,-87.1,12.6,55.0
379064,-85.3,14.3,55.7
379089,-84.7,16.0,56.3
379114,-84.0,16.6,57.1
379139,-85.4,17.7,57.9
379164,-86.9,18.6,58.2
379189,-87.8,19.1,58.3
379214,-89.0,18.9,58.3
379239,-89.5,18.8,58.6
379264,-90.0,18.4,58.8
379289,-89.7,18.0,59.0
379314,-89.0,18.4,59.5
379339,-88.3,18.7,60.1
379364,-87.7,19.3,60.4
379389,-87.2,19.7,60.8
379414,-87.0,20.6,61.1
379439,-87.3,20.9,60.9
379464,-87.8,20.2,60.6
379489,-88.0,19.6,60.2
379514,-88.3,19.0,59.3
379539,-87.9,18.5,60.1
379564,-87.3,18.4,61.5
379589,-86.7,18.3,62.5
379614,-86.2,18.0,63.5
379639,-86.0,17.7,64.2
379664,-85.8,17.2,64.6
379689,-85.5,16.0,65.1
379714,-85.1,15.4,65.7
379739,-84.9,15.2,65.9
379764,-84.7,15.3,66.0
379789,-84.6,15.5,65.9
379814,-84.5,15.5,65.6
379839,-84.5,15.5,65.3
379864,-84.4,15.6,64.9
379889,-84.1,15.6,64.9
379914,-83.7,15.4,65.2
379939,-83.0,15.1,65.4
379964,-82.2,15.2,66.1
379989,-81.5,15.2,66.8
380014,-80.8,15.4,67.6
380039,-80.4,15.9,68.5
380064,-80.0,15.3,69.1
380089,-79.5,14.8,69.4
380114,-79.0,14.3,69.6
380139,-78.1,13.9,69.8
380164,-77.3,13.5,69.9
380189,-76.0,13.0,69.6
380214,-74.3,12.5,69.3
380239,-70.7,11.7,68.0
380264,-67.0,12.5,66.7
380289,-65.2,13.1,66.4
380314,-63.7,14.5,66.0
380339,-62.9,15.8,65.9
380364,-62.2,17.1,65.8
380389,-62.4,18.3,65.8
380414,-62.6,18.8,65.9
380439,-62.7,18.8,65.6
380464,-62.6,18.0,65.3
380489,-62.1,17.1,65.0
380514,-61.5,16.5,64.7
380539,-60.7,15.9,64.6
380564,-60.1,15.7,64.8
380589,-59.6,15.8,64.9
380614,-59.1,15.7,65.3
380639,-58.8,15.8,65.4
380664,-58.6,16.3,65.6
380689,-58.7,16.7,65.6
380714,-58.8,17.2,65.6
380739,-59.5,17.6,65.6
380764,-60.2,18.3,65.8
380789,-63.0,19.4,66.5
380814,-66.0,19.3,67.0
380839,-67.8,19.1,67.4
380864,-69.6,18.6,67.9
380889,-71.1,18.1,68.1
380914,-72.4,17.5,68.3
380939,-73.7,16.9,68.4
380964,-74.9,16.7,68.6
380989,-75.9,16.4,69.0
381014,-76.7,16.3,69.8
381039,-77.6,16.3,70.3
381064,-78.4,16.6,70.9
381089,-79.3,17.0,71.4
381114,-80.2,17.4,72.1
381139,-81.2,17.7,72.4
381164,-82.2,17.7,72.8
381189,-83.1,17.7,72.7
381214,-84.0,17.4,72.3
381239,-84.9,17.2,71.5
381264,-85.8,17.0,70.5
381289,-86.7,16.9,69.4
381314,-87.6,17.0,68.3
381339,-88.7,17.1,67.0
381364,-90.0,17.2,65.6
381389,-90.5,17.1,65.4
381414,-91.1,17.0,65.2
381439,-91.7,16.9,65.0
381464,-92.2,16.8,65.0
381489,-92.6,16.8,65.1
381514,-93.2,16.7,65.3
381539,-93.5,16.6,65.6
381564,-93.9,16.4,66.1
381589,-94.1,16.3,66.4
381614,-94.2,16.2,66.9
381639,-94.4,16.1,67.2
381664,-94.5,16.3,67.4
381689,-94.7,16.5,67.4
381714,-94.9,17.1,67.5
381739,-95.3,17.5,67.6
381764,-95.9,17.4,67.7
381789,-96.5,17.2,67.6
381814,-97.1,16.8,67.4
381839,-97.9,16.5,67.1
381864,-98.7,16.3,66.7
381889,-99.7,16.0,66.9
381914,-100.7,15.5,67.1
381939,-101.1,15.2,67.1
381964,-101.4,14.8,67.1
381989,-101.5,14.6,66.9
382014,-101.5,14.5,66.6
382039,-101.4,14.4,66.4
382064,-101.3,14.5,65.9
382089,-100.9,14.5,65.6
382114,-100.7,14.9,65.3
382139,-100.4,15.1,65.4
382164,-100.1,15.5,65.5
382189,-100.0,15.9,65.8
382214,-99.8,15.9,66.3
382239,-99.6,16.1,66.7
382264,-99.3,16.2,67.1
382289,-99.0,16.1,67.5
382314,-98.6,16.1,67.7
382339,-98.1,16.0,67.9
382364,-97.7,16.1,68.3
382389,-97.4,16.1,68.7
382414,-96.7,16.2,69.2
382439,-96.3,16.4,70.0
382464,-96.4,16.7,70.3
382489,-96.5,16.8,70.5
382514,-96.8,17.0,70.6
382539,-97.0,16.9,70.6
382564,-97.2,17.0,70.5
382589,-97.4,17.1,70.3
382614,-97.6,17.1,70.2
382639,-97.7,17.2,70.0
382664,-97.7,17.3,69.5
382689,-97.7,17.5,69.2
382714,-97.8,17.9,68.4
382739,-97.8,18.3,68.2
382764,-97.6,18.7,68.1
382789,-97.6,18.6,67.9
382814,-97.5,18.6,67.6
382839,-97.3,18.7,67.6
382864,-97.2,18.8,67.3
382889,-97.3,18.9,66.7
382914,-97.2,19.0,66.5
382939,-97.1,19.0,66.3
382964,-96.6,18.9,66.4
382989,-95.9,18.8,66.9
383014,-95.3,18.7,67.2
383039,-94.8,18.6,67.4
383064,-94.2,18.6,67.5
383089,-93.6,18.4,67.8
383114,-93.0,18.3,68.0
383139,-92.3,18.2,68.3
383164,-91.7,18.3,68.5
383189,-91.1,18.3,68.8
383214,-90.5,18.3,68.9
383239,-90.0,18.5,69.0
383264,-89.5,18.5,68.9
383289,-89.1,18.4,68.7
383314,-88.7,18.3,68.6
383339,-88.5,18.1,68.2
383364,-88.1,18.0,67.6
383389,-87.9,18.1,66.8
383414,-87.8,18.4,66.2
383439,-87.7,18.3,65.5
383464,-87.3,18.3,64.9
383489,-87.1,18.3,63.9
383514,-85.2,18.0,64.1
383539,-83.1,17.3,64.7
383564,-81.6,17.2,64.7
383589,-80.1,17.1,64.9
383614,-78.3,17.1,64.7
383639,-76.6,17.7,64.4
383664,-74.6,18.1,64.3
383689,-72.5,17.9,64.0
383714,-70.1,17.7,64.0
383739,-67.8,17.8,63.8
383764,-65.6,17.9,63.9
383789,-63.5,18.1,64.2
383814,-62.1,18.6,64.4
383839,-60.6,19.1,64.5
383864,-59.5,19.6,64.7
383889,-58.3,19.8,65.1
383914,-57.3,19.8,65.2
383939,-56.3,19.9,65.2
383964,-55.3,20.0,65.0
383989,-54.3,20.1,64.8
384014,-53.4,20.1,64.6
384039,-52.4,19.9,64.3
384064,-50.7,19.9,64.2
384089,-48.9,19.8,64.2
384114,-47.8,19.8,64.0
384139,-46.4,20.0,64.2
