



1853958,-159.4,11.5,79.0
1853983,-160.0,10.0,79.9
1854008,-160.6,9.6,80.2
1854033,-159.0,8.7,79.6
1854058,-157.6,8.0,79.3
1854083,-156.2,7.3,78.9
1854108,-154.9,6.8,78.7
1854133,-153.7,6.5,78.3
1854158,-152.3,6.1,78.4
1854183,-151.0,5.6,78.4
1854208,-149.5,5.2,78.3
1854233,-147.9,4.3,78.1
1854258,-146.2,3.7,77.8
1854283,-144.5,3.3,77.7
1854308,-142.7,3.0,77.7
1854333,-140.9,3.1,77.9
1854358,-139.3,3.2,78.1
1854383,-137.7,3.3,78.3
1854408,-136.4,3.5,78.5
1854433,-135.1,3.6,78.8
1854458,-134.0,3.8,78.9
1854483,-132.9,4.0,78.7
1854508,-131.4,4.4,78.5
1854533,-130.0,4.2,78.5
1854558,-129.1,4.1,78.5
1854583,-128.3,3.9,78.4
1854608,-127.5,3.8,78.3
1854633,-126.8,3.9,78.2
1854658,-126.2,3.9,78.4
1854683,-125.7,3.7,78.5
1854708,-125.2,3.6,78.7
1854733,-124.6,3.3,78.7
1854758,-124.1,3.1,78.8
1854783,-123.6,2.9,78.9
1854808,-123.0,2.7,78.8
1854833,-122.5,2.4,78.8
1854858,-122.0,2.2,78.9
1854883,-121.4,2.0,79.1
1854908,-120.9,1.9,79.1
1854933,-120.4,1.8,79.2
1854958,-119.7,1.6,79.2
1854983,-119.1,1.5,79.2
1855008,-118.4,1.5,79.1
1855033,-117.0,1.6,79.0
1855058,-116.0,1.6,79.0
1855083,-115.3,1.7,79.0
1855108,-114.7,1.8,79.2
1855133,-114.1,1.8,79.3
1855158,-113.6,1.8,79.2
1855183,-113.1,1.8,79.3
1855208,-112.6,1.6,79.3
1855233,-112.0,1.6,79.4
1855258,-111.5,1.6,79.5
1855283,-111.0,1.7,79.6
1855308,-110.5,1.7,79.6
1855333,-110.0,1.8,79.4
1855358,-109.5,1.8,79.5
1855383,-109.1,1.8,79.5
1855408,-108.6,1.8,79.5
1855433,-108.1,1.8,79.6
1855458,-107.6,1.8,79.8
1855483,-107.1,1.7,79.8
1855508,-106.6,1.6,79.8
1855533,-106.1,1.4,79.8
1855558,-105.1,1.7,80.0
1855583,-104.4,1.8,80.1
1855608,-104.2,2.0,80.2
1855633,-103.8,2.0,80.2
1855658,-103.5,2.0,80.3
1855683,-103.2,2.0,80.3
1855708,-103.0,2.0,80.3
1855733,-102.7,1.9,80.1
1855758,-102.5,1.7,80.1
1855783,-102.1,1.5,80.1
1855808,-101.8,1.4,79.9
1855833,-101.3,1.3,79.8
1855858,-100.8,1.2,79.8
1855883,-100.4,1.2,79.7
1855908,-100.0,1.2,79.7
1855933,-99.6,1.2,79.7
1855958,-99.3,1.2,79.7
1855983,-99.0,1.3,79.9
1856008,-98.7,1.4,79.9
1856033,-98.5,1.4,79.8
1856058,-98.3,1.3,79.7
1856083,-98.1,1.3,79.6
1856108,-97.8,1.2,79.5
1856133,-97.5,1.2,79.4
1856158,-97.2,1.2,79.3
1856183,-97.0,1.2,79.4
1856208,-96.8,1.2,79.3
1856233,-96.5,1.3,79.1
1856258,-96.4,1.2,78.9
1856283,-96.1,1.3,78.8
1856308,-95.9,1.3,78.7
1856333,-95.8,1.3,78.7
1856358,-95.5,1.3,78.7
1856383,-95.3,1.3,78.7
1856408,-95.1,1.3,78.6
1856433,-94.9,1.4,78.4
1856458,-94.7,1.3,78.4
1856483,-94.5,1.2,78.3
1856508,-94.2,1.2,78.1
1856533,-94.0,1.1,78.1
1856558,-93.8,1.1,78.0
1856583,-93.7,1.2,78.0
1856608,-93.5,1.1,78.0
1856633,-93.1,1.1,77.8
1856658,-92.8,1.2,77.6
1856683,-92.7,1.3,77.6
1856708,-92.5,1.3,77.6
1856733,-92.5,1.3,77.5
1856758,-92.4,1.3,77.4
1856783,-92.3,1.4,77.5
1856808,-92.2,1.3,77.5
1856833,-92.1,1.3,77.5
1856858,-92.0,1.3,77.5
1856883,-91.9,1.3,77.4
1856908,-91.9,1.2,77.4
1856933,-91.8,1.1,77.4
1856958,-91.7,1.2,77.4
1856983,-91.6,1.2,77.4
1857008,-91.6,1.1,77.4
1857033,-91.5,1.1,77.5
1857058,-91.5,1.2,77.4
1857083,-91.4,1.2,77.3
1857108,-91.4,1.2,77.3
1857133,-91.3,1.2,77.3
1857158,-91.3,1.2,77.3
1857183,-91.4,1.2,77.3
1857208,-91.5,1.3,77.5
1857233,-91.4,1.3,77.5
1857258,-91.5,1.2,77.5
1857283,-91.5,1.2,77.5
1857308,-91.4,1.1,77.5
1857333,-91.4,1.2,77.7
1857358,-91.4,1.1,77.9
1857383,-91.4,1.1,77.8
1857408,-91.3,1.1,77.7
1857433,-91.3,1.2,77.8
1857458,-91.3,1.2,77.8
1857483,-91.3,1.1,77.8
1857508,-91.2,1.1,77.7
1857533,-91.2,1.2,77.7
1857558,-91.2,1.1,77.8
1857583,-91.2,1.1,77.8
1857608,-91.2,1.1,77.8
1857633,-91.1,1.1,77.8
1857658,-91.1,1.0,77.8
1857683,-91.0,1.1,77.9
1857708,-91.0,1.1,77.9
1857733,-91.0,1.3,77.8
1857758,-90.8,1.2,77.9
1857783,-90.8,1.1,77.9
1857808,-90.7,1.1,78.0
1857833,-90.7,1.1,78.1
1857858,-90.7,1.1,78.1
1857883,-90.7,1.3,78.1
1857908,-90.7,1.4,78.2
1857933,-90.7,1.5,78.2
1857958,-90.7,1.4,78.0
1857983,-90.7,1.5,78.0
1858008,-90.6,1.4,78.0
1858033,-90.7,1.4,78.0
1858058,-90.8,1.4,77.9
1858083,-90.8,1.4,77.8
1858108,-90.8,1.4,77.8
1858133,-90.8,1.4,77.7
1858158,-90.7,1.3,77.6
1858183,-90.7,1.3,77.6
1858208,-90.6,1.2,77.7
1858233,-90.5,1.2,77.7
1858258,-90.3,1.2,77.7
1858283,-90.2,1.2,77.5
1858308,-90.0,1.2,77.4
1858333,-89.9,1.1,77.4
1858358,-89.8,1.1,77.4
1858383,-89.8,1.1,77.5
1858408,-89.7,1.1,77.5
1858433,-89.7,1.0,77.5
1858458,-89.6,1.1,77.7
1858483,-89.4,1.1,77.9
1858508,-89.4,1.0,78.2
1858533,-89.3,1.1,78.3
1858558,-89.2,1.2,78.4
1858583,-89.1,1.3,78.6
1858608,-89.0,1.4,78.6
1858633,-89.0,1.5,78.6
1858658,-89.0,1.6,78.6
1858683,-89.1,1.6,78.5
1858708,-89.1,1.6,78.5
1858733,-89.0,1.6,78.4
1858758,-89.0,1.6,78.2
1858783,-89.0,1.6,78.2
1858808,-89.1,1.4,78.2
1858833,-89.2,1.2,78.2
1858858,-89.3,0.9,78.2
1858883,-89.3,0.8,78.1
1858908,-89.3,0.5,78.1
1858933,-89.4,0.3,78.2
1858958,-89.3,0.1,78.2
1858983,-89.1,-0.1,78.3
1859008,-89.0,-0.1,78.3
1859033,-88.9,-0.1,78.4
1859058,-88.7,-0.0,78.6
1859083,-88.5,-0.0,78.7
1859108,-88.3,-0.0,78.7
1859133,-88.0,-0.0,78.8
