Timestamp,Yaw,Pitch,Roll
8563340,-25.7,-0.0,-0.0
8563365,-25.4,-0.0,-0.0
8563390,-25.2,0.0,0.0
8563415,-23.7,-1.0,-6.9
8563440,-22.0,-1.9,-13.8
8563465,-20.3,-2.9,-20.1
8563490,-18.5,-3.9,-26.1
8563515,-16.9,-4.6,-31.9
8563540,-16.0,-5.2,-37.0
8563565,-16.6,-6.2,-41.5
8563590,-17.7,-7.1,-45.9
8563615,-18.7,-7.4,-50.2
8563640,-19.9,-8.0,-53.6
8563665,-21.2,-8.7,-56.4
8563690,-22.5,-9.2,-59.2
8563715,-23.8,-9.3,-61.8
8563740,-25.1,-9.5,-63.8
8563765,-26.5,-9.6,-65.7
8563790,-27.8,-9.7,-67.6
8563815,-29.3,-9.9,-68.9
8563840,-30.7,-10.0,-70.2
8563865,-32.1,-9.8,-71.4
8563890,-33.6,-9.9,-72.4
8563915,-35.0,-10.2,-73.4
8563940,-36.4,-10.1,-74.4
8563965,-37.9,-9.9,-74.9
8563990,-39.4,-10.1,-75.3
8564015,-40.9,-10.2,-75.9
8564040,-42.2,-10.0,-76.6
8564065,-43.6,-10.1,-76.9
8564090,-45.1,-10.4,-77.1
8564115,-46.4,-10.4,-77.4
8564140,-47.7,-10.2,-77.7
8564165,-49.2,-10.2,-77.7
8564190,-50.5,-10.1,-77.9
8564215,-51.8,-10.1,-78.1
8564240,-53.1,-10.2,-78.3
8564265,-54.4,-10.2,-78.4
8564290,-55.6,-9.9,-78.6
8564315,-56.9,-9.8,-78.8
8564340,-58.0,-10.1,-79.2
8564365,-60.1,-10.1,-79.5
8564390,-61.7,-9.9,-79.7
8564415,-62.8,-9.6,-79.8
8564440,-63.9,-9.7,-79.6
8564465,-65.0,-10.0,-79.4
8564490,-66.0,-10.0,-79.4
8564515,-66.9,-9.7,-79.6
8564540,-68.0,-9.7,-79.6
8564565,-68.9,-9.9,-79.6
8564590,-69.8,-10.0,-79.8
8564615,-70.6,-10.1,-80.0
8564640,-71.5,-9.9,-79.9
8564665,-72.4,-9.7,-79.6
8564690,-73.3,-9.7,-79.5
8564715,-74.1,-9.9,-79.4
8564740,-74.9,-10.0,-79.5
8564765,-75.6,-10.0,-79.7
8564790,-76.4,-10.0,-79.5
8564815,-77.1,-10.2,-79.3
8564840,-77.8,-10.2,-79.4
8564865,-78.5,-10.0,-79.7
8564890,-79.2,-10.1,-79.5
8564915,-79.9,-10.3,-79.4
8564940,-80.5,-10.3,-79.5
8564965,-81.2,-10.1,-79.6
8564990,-81.9,-10.0,-79.6
8565015,-82.4,-10.0,-79.9
8565040,-83.0,-10.3,-79.9
8565065,-83.5,-10.5,-80.0
8565090,-84.0,-10.1,-80.1
8565115,-84.6,-9.8,-80.0
8565140,-85.0,-10.0,-80.0
8565165,-85.6,-10.2,-80.0
8565190,-86.0,-10.2,-80.1
8565215,-86.5,-9.9,-80.1
8565240,-87.0,-10.0,-80.0
8565265,-87.5,-10.1,-79.9
8565290,-87.9,-10.1,-80.0
8565315,-88.3,-10.1,-80.1
8565340,-89.3,-10.0,-79.8
8565365,-89.9,-10.4,-79.4
8565390,-90.3,-10.4,-79.3
8565415,-90.7,-10.1,-79.4
8565440,-91.1,-10.2,-79.4
8565465,-91.4,-10.3,-79.6
8565490,-91.6,-10.2,-79.9
8565515,-91.9,-10.3,-79.7
8565540,-92.2,-10.4,-79.5
8565565,-92.6,-10.3,-79.6
8565590,-92.9,-10.1,-79.9
8565615,-93.2,-10.2,-79.7
8565640,-93.6,-10.3,-79.4
8565665,-93.8,-10.1,-79.6
8565690,-94.0,-9.9,-80.1
8565715,-94.3,-10.1,-79.8
8565740,-94.6,-10.6,-79.6
8565765,-94.9,-10.3,-79.8
8565790,-95.0,-10.1,-80.0
8565815,-95.2,-10.1,-79.9
8565840,-95.4,-10.1,-79.7
8565865,-95.6,-10.2,-79.8
8565890,-95.8,-10.3,-79.7
8565915,-96.0,-10.1,-79.8
8565940,-96.1,-9.8,-79.9
8565965,-96.4,-10.1,-79.7
8565990,-96.5,-10.3,-79.7
8566015,-96.7,-10.3,-79.8
8566040,-96.9,-10.2,-79.8
8566065,-97.2,-10.2,-79.6
8566090,-97.3,-10.1,-79.6
8566115,-97.5,-10.2,-79.7
8566140,-97.6,-10.5,-79.5
8566165,-97.8,-10.3,-79.7
8566190,-97.9,-10.1,-79.7
8566215,-98.1,-10.4,-79.5
8566240,-98.3,-10.5,-79.5
8566265,-98.4,-10.2,-79.5
8566290,-98.5,-10.0,-79.4
8566315,-98.7,-10.2,-79.7
8566340,-99.1,-10.2,-79.4
8566365,-99.2,-10.1,-79.3
8566390,-99.1,-10.1,-79.6
8566415,-99.2,-10.5,-79.7
8566440,-99.3,-10.7,-79.6
8566465,-99.4,-10.8,-79.6
8566490,-99.5,-10.5,-79.7
8566515,-99.5,-10.4,-79.7
8566540,-99.6,-10.5,-79.6
8566565,-99.7,-10.5,-79.5
8566590,-99.8,-10.3,-79.4
8566615,-99.8,-9.9,-79.3
8566640,-99.9,-9.9,-79.5
8566665,-99.9,-10.0,-79.6
8566690,-100.0,-10.1,-79.6
8566715,-100.0,-10.1,-79.5
8566740,-100.0,-10.1,-79.5
8566765,-100.1,-10.2,-79.5
8566790,-100.1,-10.2,-79.5
8566815,-100.2,-10.3,-79.7
8566840,-100.2,-10.4,-79.7
8566865,-100.2,-10.4,-79.6
8566890,-100.3,-10.3,-79.6
8566915,-100.4,-10.4,-79.6
8566940,-100.4,-10.3,-79.7
8566965,-100.4,-10.2,-79.8
8566990,-100.5,-10.1,-79.8
8567015,-100.5,-10.1,-79.9
8567040,-100.6,-10.1,-79.8
8567065,-100.6,-9.9,-79.8
8567090,-100.7,-9.9,-79.6
8567115,-100.7,-10.1,-79.5
8567140,-100.7,-10.0,-79.6
8567165,-100.6,-9.7,-79.8
8567190,-100.7,-10.0,-79.7
8567215,-100.8,-10.6,-79.5
8567240,-100.8,-10.3,-79.6
8567265,-100.9,-9.9,-79.7
8567290,-100.9,-9.9,-79.8
8567315,-101.0,-9.9,-79.6
8567340,-101.1,-10.1,-79.4
8567365,-101.1,-9.8,-79.4
8567390,-101.1,-9.6,-79.6
8567415,-101.1,-9.9,-79.5
8567440,-101.1,-9.9,-79.8
8567465,-101.1,-9.8,-79.7
8567490,-101.2,-9.9,-79.5
8567515,-101.2,-9.9,-79.6
8567540,-101.2,-9.8,-79.7
8567565,-101.3,-10.0,-79.6
8567590,-101.4,-10.1,-79.5
8567615,-101.4,-10.0,-79.6
8567640,-101.4,-10.1,-79.6
8567665,-101.4,-10.2,-79.5
8567690,-101.4,-10.0,-79.5
8567715,-101.5,-10.0,-79.5
8567740,-101.6,-10.1,-79.4
8567765,-101.6,-9.9,-79.5
8567790,-101.7,-9.7,-79.5
8567815,-101.7,-10.0,-79.4
8567840,-101.7,-10.1,-79.5
8567865,-101.7,-9.9,-79.6
8567890,-101.7,-9.8,-79.6
8567915,-101.7,-10.2,-79.6
8567940,-101.7,-10.3,-79.6
8567965,-101.7,-10.1,-79.8
8567990,-101.8,-10.1,-79.8
8568015,-101.9,-10.4,-79.8
8568040,-101.8,-10.5,-79.8
8568065,-101.8,-10.2,-79.9
8568090,-101.8,-10.1,-79.8
8568115,-101.9,-10.1,-79.7
8568140,-102.0,-10.2,-79.7
8568165,-101.9,-10.0,-79.9
8568190,-101.9,-10.2,-79.9
8568215,-102.0,-10.3,-79.7
8568240,-102.0,-10.6,-79.7
8568265,-102.1,-10.9,-79.5
8568290,-102.1,-10.7,-79.7
8568315,-102.1,-10.2,-79.9
8568340,-102.3,-10.2,-79.8
8568365,-102.3,-10.4,-79.7
8568390,-102.3,-10.4,-79.9
8568415,-102.4,-10.0,-80.0
